Digimon Jokers,Stage,Effects,Can evolve to,Shop Availability,Digivolution Requirement,Branch / Notes,Internal Key,Atlas X,Atlas Y
Garurumon,Champion,Gain +10 Chips if played hand contains a scoring face card (carried over Chips from Gabumon),"WereGarurumon, Mammothmon",Very rare in Shop,Full Bond + compatible Digivice,WereGarurumon: Standard / always viable at full Bond | Mammothmon: Hunger 3+,garurumon,0,0
Leomon,Champion,Gain +15 Chips if played hand contains [poker hand] (carried over Chips from Gabumon) (poker hand changes at end of round),"LoaderLeomon, Knightmon",Very rare in Shop,Full Bond + compatible Digivice,LoaderLeomon: Standard / always viable at full Bond | Knightmon: Care Mistakes 1+,leomon,0,0
MadLeomon,Champion,+1000 Chips (-100 Chips for each card of hand size),"LoaderLeomon, Knightmon",Very rare in Shop,Full Bond + compatible Digivice,LoaderLeomon: Standard / always viable at full Bond | Knightmon: Hunger 3+,madleomon,0,0
WereGarurumon,Ultimate,Gain +20 Chips if [Rank] is discarded. (can upgrade once per discard) (rank changes at end of round),MetalGarurumon,Not obtainable in Shop,Full Bond + compatible Digivice,,weregarurumon,0,0
LoaderLeomon,Ultimate,Gain +50 Chips if [poker hand] is discarded. (poker hand changes at end of round),HeavyLeomon,Not obtainable in Shop,Full Bond + compatible Digivice,,loaderleomon,0,0
MetalGarurumon,Mega,Gain X0.25 Chips for every [Rank] of [Suit] Played (Upgrade limited once per card including retrigger) (card changes at end of round),-,Not obtainable in Shop,—,,metalgarurumon,0,0
HeavyLeomon,Mega,Gain X0.25 Chips every time the least played poker hand is upgraded,-,Not obtainable in Shop,—,,heavyleomon,0,0
Monzaemon,Ultimate,Create a tarot card when blind is selected (must have room),-,Not obtainable in Shop,—,,monzaemon,0,0
WaruMonzaemon,Ultimate,Create 2 Food items at the end of a round (must have room),-,Not obtainable in Shop,—,,warumonzaemon,0,0
PolarBearmon,Ultimate,All planet cards and celestial booster packs cost $2 less,-,Not obtainable in Shop,—,,polarbearmon,0,0
Pichimon,Fresh,+50 Chips if played hand contains a Pair,Bukamon,Shop,Full Bond + compatible Digivice,,pichimon,0,0
Bukamon,In-Training,+100 Chips if played hand contains Three of a Kind,"Gomamon, Crabmon",Shop,Full Bond + compatible Digivice,Gomamon: Standard / always viable at full Bond | Crabmon: Hunger 2+,bukamon,0,0
Gomamon,Rookie,+80 Chips if played hand contains a Flush,"Ikkakumon, Shellmon",Shop,Full Bond + compatible Digivice,Ikkakumon: Standard / always viable at full Bond | Shellmon: Hunger 3+,gomamon,0,0
Crabmon,Rookie,+160 Chips if played hand contains a Straight,"Seadramon, Shellmon",Shop,Full Bond + compatible Digivice,Seadramon: Standard / always viable at full Bond | Shellmon: Hunger 3+,crabmon,0,0
Ikkakumon,Champion,Gives +5 Chips for every unenhanced cards played this hand,"Zudomon, Mammothmon",Very rare in Shop,Full Bond + compatible Digivice,Zudomon: Standard / always viable at full Bond | Mammothmon: Hunger 3+,ikkakumon,0,0
Shellmon,Champion,Add a stone card when blind is selected,MarineBullmon,Very rare in Shop,Full Bond + compatible Digivice,,shellmon,0,0
Seadramon,Champion,Every face card gives +30 Chips,MegaSeadramon,Very rare in Shop,Full Bond + compatible Digivice,,seadramon,0,0
Zudomon,Ultimate,Gives +100 Chips and $8 when boss blind effect is activated,Vikemon,Not obtainable in Shop,Full Bond + compatible Digivice,,zudomon,0,0
MarineBullmon,Ultimate,Gives +25 Chips for each Stone Card in your full deck,"Hydramon, Vikemon",Not obtainable in Shop,Full Bond + compatible Digivice,Hydramon: Stone route | Vikemon: Hunger 3+,marinebullmon,0,0
MegaSeadramon,Ultimate,Face card played gets +30 Chips permanently,MetalSeadramon,Not obtainable in Shop,Full Bond + compatible Digivice,,megaseadramon,0,0
Vikemon,Mega,"+1000 Chips, -3 hand size",-,Not obtainable in Shop,—,,vikemon,0,0
Hydramon,Mega,Each played stone card gives +20 Mult,-,Not obtainable in Shop,—,,hydramon,0,0
MetalSeadramon,Mega,Cards played gain +50 Chips permanently,-,Not obtainable in Shop,—,,metalseadramon,0,0
Poyomon,Fresh,Each played lucky card gives +2 Mult,"Tokomon, Pagumon",Shop,Full Bond + compatible Digivice,Tokomon: Standard / always viable at full Bond | Pagumon: Care Crisis (3 Care Mistakes),poyomon,0,0
Tokomon,In-Training,Create a negative magician at the end of a boss blind,Patamon,Shop,Full Bond + compatible Digivice,,tokomon,0,0
Patamon,Rookie,"If the first played card is a single card, turn it into a lucky card","Angemon, Pegasusmon",Shop,Full Bond + compatible Digivice,Angemon: Standard / always viable at full Bond | Pegasusmon: D-3 required,patamon,0,0
Angemon,Champion,All played cards with rank 7 turn to lucky cards. Also applies Patamon’s effect,MagnaAngemon,Very rare in Shop,Full Bond + compatible Digivice,,angemon,0,0
Pegasusmon,Champion,"Double any probability (eg, 1 in 3 to 2 in 3)","MagnaAngemon, HippoGryphonmon",Very rare in Shop,Full Bond + compatible Digivice,MagnaAngemon: Standard / always viable at full Bond | HippoGryphonmon: Hunger 3+,pegasusmon,0,0
MagnaAngemon,Ultimate,Gain X0.3 Mult every time a Lucky Card triggers,Seraphimon,Not obtainable in Shop,Full Bond + compatible Digivice,,magnaangemon,0,0
Seraphimon,Mega,Lucky cards can give X2 Mult on money hit,-,Not obtainable in Shop,—,,seraphimon,0,0
YukimiBotamon,Fresh,Each played glass card gives +30 Chips,"Nyaromon, Pagumon",Shop,Full Bond + compatible Digivice,Nyaromon: Standard / always viable at full Bond | Pagumon: Care Crisis (3 Care Mistakes),yukimibotamon,0,0
Nyaromon,In-Training,Create 2 negative justice at the end of a boss blind,Salamon,Shop,Full Bond + compatible Digivice,,nyaromon,0,0
Salamon,Rookie,"If the first played card is a single card, turn it into a glass card","Gatomon, Nefertimon",Shop,Full Bond + compatible Digivice,Gatomon: Standard / always viable at full Bond | Nefertimon: D-3 required,salamon,0,0
Gatomon,Champion,"All played face cards turn to lucky cards, Also applies Salamon’s effect",Angewomon,Very rare in Shop,Full Bond + compatible Digivice,,gatomon,0,0
Nefertimon,Champion,"Reduce any probability by half (eg, 1 in 3 to 0.5 in 3)","Angewomon, HippoGryphonmon",Very rare in Shop,Full Bond + compatible Digivice,Angewomon: Standard / always viable at full Bond | HippoGryphonmon: Hunger 3+,nefertimon,0,0
Angewomon,Ultimate,Gain X0.69 Mult every time a glass card breaks,Magnadramon,Not obtainable in Shop,Full Bond + compatible Digivice,,angewomon,0,0
Magnadramon,Mega,Glass cards have a 1 in 2 chance to X3 Mult additionally,-,Not obtainable in Shop,—,,magnadramon,0,0
Pagumon,In-Training,Create 2 negative chariot at the end of a boss blind,DemiDevimon,Shop,Full Bond + compatible Digivice,,pagumon,0,0
DemiDevimon,Rookie,"If the first played card is a single card, turn it into a steel card",Devimon,Shop,Full Bond + compatible Digivice,,demidevimon,0,0
Devimon,Champion,Ace and 2 held in hand turn into steel cards,"Myotismon, LadyDevimon",Very rare in Shop,Full Bond + compatible Digivice,Myotismon: Standard / always viable at full Bond | LadyDevimon: Hunger 3+,devimon,0,0
LadyDevimon,Ultimate,Steel cards give $2 when discarded,MaloMyotismon,Not obtainable in Shop,Full Bond + compatible Digivice,,ladydevimon,0,0
Myotismon,Ultimate,Each Steel card in deck gives X0.25 Mult,MaloMyotismon,Not obtainable in Shop,Full Bond + compatible Digivice,,myotismon,0,0
MaloMyotismon,Mega,Each King held in hand gives X1.5 Mult,-,Not obtainable in Shop,—,,malomyotismon,0,0
Piedmon,Mega,Gain X1 Mult for every face card destroyed,-,Not obtainable in Shop,—,,piedmon,0,0
Sakumon,Fresh,"If the first played card is a single card, turn it into a gold card",Sakuttomon,Shop,Full Bond + compatible Digivice,,sakumon,0,0
Sakuttomon,In-Training,Create a negative devil at the end of a boss blind,Zubamon,Shop,Full Bond + compatible Digivice,,sakuttomon,0,0
Zubamon,Rookie,All played face cards turn to gold card,ZubaEagermon,Shop,Full Bond + compatible Digivice,,zubamon,0,0
ZubaEagermon,Champion,Each played gold card gives $4,Duramon,Very rare in Shop,Full Bond + compatible Digivice,,zubaeagermon,0,0
Duramon,Ultimate,Each played gold card gives $6,Durandamon,Not obtainable in Shop,Full Bond + compatible Digivice,,duramon,0,0
Durandamon,Mega,Each played gold card gives $6 and X1.5 Mult,-,Not obtainable in Shop,—,,durandamon,0,0
Kimeramon,Ultimate,"If first hand of round has only 1 card, add a permanent copy to deck and draw it to hand",Apocalymon,Not obtainable in Shop,Full Bond + compatible Digivice,,kimeramon,0,0
Apocalymon,Mega,"If first hand of round has 5 scoring cards, destroy all of it and gain $20",-,Not obtainable in Shop,—,,apocalymon,0,0
Chibomon,Fresh,Retrigger last played card used in scoring,DemiVeemon,Shop,Full Bond + compatible Digivice,,chibomon,0,0
DemiVeemon,In-Training,Retrigger first played card used in scoring,Veemon,Shop,Full Bond + compatible Digivice,,demiveemon,0,0
Veemon,Rookie,Retrigger first played card used in scoring 2 additional times,"ExVeemon, Flamedramon",Shop,Full Bond + compatible Digivice,ExVeemon: Standard / always viable at full Bond | Flamedramon: D-3 required,veemon,0,0
ExVeemon,Champion,Retrigger all played face cards,Paildramon,Very rare in Shop,Full Bond + compatible Digivice,,exveemon,0,0
Flamedramon,Champion,1 in 5 chance to upgrade played poker hand,Wingdramon,Very rare in Shop,Full Bond + compatible Digivice,,flamedramon,0,0
Paildramon,Ultimate,Retrigger all played cards in final hand of the round 2 additional times,"Imperialdramon Fighter Mode, Imperialdramon Dragon Mode",Not obtainable in Shop,Full Bond + compatible Digivice,Imperialdramon Fighter Mode: Mode choice | Imperialdramon Dragon Mode: Mode choice,paildramon,0,0
Wingdramon,Ultimate,Upgrade the level of the first discarded poker hand each round,"Gallantmon, BlackWarGreymon",Not obtainable in Shop,Full Bond + compatible Digivice,Gallantmon: Standard / always viable at full Bond | BlackWarGreymon: Care Crisis (3 Care Mistakes),wingdramon,0,0
Imperialdramon Dragon Mode,Mega,Retrigger all cards held in hand abilities,Imperialdramon Fighter Mode,Not obtainable in Shop,Full Bond + compatible Digivice,,imperialdramon_dragon_mode,0,0
Imperialdramon Fighter Mode,Mega,Retrigger all played cards 2 additional times,Imperialdramon Dragon Mode,Not obtainable in Shop,Full Bond + compatible Digivice,,imperialdramon_fighter_mode,0,0
Gekkomon,Rare,Copies the Digimon Joker's effect to the right of this Joker,-,Rare special Shop appearance,—,,gekkomon,0,0
Troopmon,Rare,Copies the leftmost Digimon Joker's effect,-,Rare special Shop appearance,—,,troopmon,0,0
Digitamamon,Rare,Retrigger the rightmost Joker's effect 2 additional times. Perpetually rental.,-,Rare special Shop appearance,—,,digitamamon,0,0
Espimon,Rare,"After 2 rounds, sell this card to Duplicate a random Joker (Removes Negative from copy)",HoverEspimon,Rare special Shop appearance,—,,espimon,0,0
HoverEspimon,Mega,"After 3 rounds, sell this card to Duplicate the leftmost Joker",-,Not obtainable in Shop,—,,hoverespimon,0,0
Relemon,Fresh,Earn $4 at end of round,Viximon,Shop,Full Bond + compatible Digivice,,relemon,0,0
Viximon,In-Training,Earn $5 at end of round,Renamon,Shop,Full Bond + compatible Digivice,,viximon,0,0
Renamon,Rookie,"Earn $5 for each discarded [rank], rank changes at end of round","Kyubimon, ZubaEagermon, Gatomon",Shop,Full Bond + compatible Digivice,Kyubimon: Standard / always viable at full Bond | ZubaEagermon: Hunger 3+ | Gatomon: Care Mistakes 1+,renamon,0,0
Kyubimon,Champion,Earn $10 at end of round. Payout increases by $2 when Boss Blind is defeated,"Taomon, LadyDevimon",Very rare in Shop,Full Bond + compatible Digivice,Taomon: Standard / always viable at full Bond | LadyDevimon: Care Crisis (3 Care Mistakes),kyubimon,0,0
Taomon,Ultimate,X1 Mult for every $10 owned,"Sakuyamon, Piedmon",Not obtainable in Shop,Full Bond + compatible Digivice,Sakuyamon: Standard / always viable at full Bond | Piedmon: Care Crisis (3 Care Mistakes),taomon,0,0
Sakuyamon,Mega,"X1 Mult for every $10 owned, apply Renamon effect",-,Not obtainable in Shop,—,,sakuyamon,0,0
Zerimon,Fresh,Each face card held in hand has a 1 in 2 chance to give $1,Gummymon,Shop,Full Bond + compatible Digivice,,zerimon,0,0
Gummymon,In-Training,Add $1 of sell value to every Joker and Consumable card at end of round,Terriermon,Shop,Full Bond + compatible Digivice,,gummymon,0,0
Terriermon,Rookie,"1 in 4 chance for each played 8, 10, and Jacks to create a Tarot card when scored","Gargomon, Guardromon, Machmon",Shop,Full Bond + compatible Digivice,Gargomon: Standard / always viable at full Bond | Guardromon: Hunger 2+ | Machmon: Care Mistakes 1+,terriermon,0,0
Gargomon,Champion,"Played face cards, Ace cards and 2's give +5 Mult when scored",Rapidmon,Very rare in Shop,Full Bond + compatible Digivice,,gargomon,0,0
Guardromon,Champion,"When round begins, add a random playing card with a random seal to your hand","Andromon, Tankdramon",Very rare in Shop,Full Bond + compatible Digivice,Andromon: Standard / always viable at full Bond | Tankdramon: Care Mistakes 1+,guardromon,0,0
Machmon,Champion,Allows Straights to be made with gaps of 1 rank,"LoaderLeomon, Tankdramon",Very rare in Shop,Full Bond + compatible Digivice,LoaderLeomon: Standard / always viable at full Bond | Tankdramon: Hunger 3+,machmon,0,0
Rapidmon,Ultimate,"If first discard of round has only 1 card, destroy it and earn $3",MegaGargomon,Not obtainable in Shop,Full Bond + compatible Digivice,,rapidmon,0,0
Andromon,Ultimate,"Hearts and Diamonds count as the same suit, Spades and Clubs count as the same suit",HiAndromon,Not obtainable in Shop,Full Bond + compatible Digivice,,andromon,0,0
Tankdramon,Ultimate,Activate any purple seal and gold seal held in hand at the end of a round,Machinedramon,Not obtainable in Shop,Full Bond + compatible Digivice,,tankdramon,0,0
MegaGargomon,Mega,Creates a Negative copy of 1 random consumable card in your possession at the end of the shop,-,Not obtainable in Shop,—,,megagargomon,0,0
HiAndromon,Mega,This Joker gains X1 Mult every 7 [suit] cards discarded,-,Not obtainable in Shop,—,,hiandromon,0,0
Pururumon,Fresh,+1 hands each round,Poromon,Shop,Full Bond + compatible Digivice,,pururumon,0,0
Poromon,In-Training,+1 discard selection limit,"Hawkmon, Biyomon",Shop,Full Bond + compatible Digivice,Hawkmon: Standard / always viable at full Bond | Biyomon: Hunger 2+,poromon,0,0
Hawkmon,Rookie,Gain an extra handsize for every flush discarded (Poromon’s effect is also applied),"Aquilamon, Halsemon",Shop,Full Bond + compatible Digivice,Aquilamon: Standard / always viable at full Bond | Halsemon: D-3 required,hawkmon,0,0
Biyomon,Rookie,Gain 2 extra hands when four of a kind is discarded,Birdramon,Shop,Full Bond + compatible Digivice,,biyomon,0,0
Birdramon,Champion,Played card with [suit] give +4 Mult when scored (suit changes every hand played),Garudamon,Very rare in Shop,Full Bond + compatible Digivice,,birdramon,0,0
Aquilamon,Champion,"+2 handsize, -1 hand every round","Parrotmon, HippoGryphonmon",Very rare in Shop,Full Bond + compatible Digivice,Parrotmon: Standard / always viable at full Bond | HippoGryphonmon: Hunger 3+,aquilamon,0,0
Halsemon,Champion,"+3 discards each round, -1 hand size",HippoGryphonmon,Very rare in Shop,Full Bond + compatible Digivice,,halsemon,0,0
Garudamon,Ultimate,"Cycle between the effect of Bloodstone, Arrowhead, OnyxAgate and Rough Gem every hand played (Now Bloodstone)","Phoenixmon, Valkyrimon",Not obtainable in Shop,Full Bond + compatible Digivice,Phoenixmon: Standard / always viable at full Bond | Valkyrimon: Hunger 3+,garudamon,0,0
Parrotmon,Ultimate,Each played card with [suit] gives X1.5 Mult when scored (suit changes at end of round),"Phoenixmon, Valkyrimon",Not obtainable in Shop,Full Bond + compatible Digivice,Phoenixmon: Standard / always viable at full Bond | Valkyrimon: Hunger 3+,parrotmon,0,0
HippoGryphonmon,Ultimate,Each played [rank] of [suit] gives X2 Mult when scored (Card changes at end of round),"Phoenixmon, Valkyrimon",Not obtainable in Shop,Full Bond + compatible Digivice,Phoenixmon: Standard / always viable at full Bond | Valkyrimon: Care Mistakes 1+,hippogryphonmon,0,0
Phoenixmon,Mega,Create a negative copy of a last sold Joker when boss blind is defeated,-,Not obtainable in Shop,—,,phoenixmon,0,0
Valkyrimon,Mega,Played Kings and Queens each give X2 Mult when scored,-,Not obtainable in Shop,—,,valkyrimon,0,0
Akatorimon,In-Training,Feed 3 random Digimon Jokers every round (excluding Akatorimon),-,Shop,—,,akatorimon,0,0
Kokatorimon,In-Training,Feed the Digimon Joker to its left every round,-,Shop,—,,kokatorimon,0,0
Pinamon,Fresh,Sell this Joker to create a Food,"Akatorimon, Kokatorimon",Shop,Full Bond + compatible Digivice,Akatorimon: Wide-feeding route | Kokatorimon: Focused-feeding route,pinamon,0,0
